id,name,category,quantity,purchase_price,selling_price
1,Laptop,Electronics,10,500.00,700.00
2,Smartphone,Electronics,25,300.00,400.00
3,Tablet,Electronics,15,200.00,250.00
4,Headphones,Audio,50,50.00,80.00
5,Smartwatch,Wearables,20,100.00,150.00
6,Monitor,Peripherals,12,120.00,180.00
7,Keyboard,Peripherals,30,30.00,50.00
8,Mouse,Peripherals,40,20.00,35.00
9,Printer,Office Equipment,8,150.00,200.00
10,External Hard Drive,Accessories,18,70.00,100.00
11,USB Flash Drive,Accessories,50,10.00,20.00
12,Gaming Console,Gaming,10,400.00,500.00
13,Wireless Charger,Accessories,35,25.00,40.00
14,Power Bank,Accessories,25,20.00,35.00
15,Speaker,Audio,30,60.00,100.00
16,Camera,Photography,15,300.00,450.00
17,Drone,Photography,10,600.00,850.00
18,Projector,Office Equipment,5,400.00,600.00
19,Graphics Card,Gaming,7,250.00,350.00
20,Router,Networking,20,80.00,120.00
21,Smart TV,Electronics,15,1000.00,1300.00
22,E-Reader,Electronics,12,150.00,200.00
23,Fitness Tracker,Wearables,22,90.00,130.00
24,Webcam,Peripherals,18,40.00,60.00
25,Microphone,Audio,25,50.00,70.00
26,Docking Station,Accessories,30,70.00,100.00
27,VR Headset,Gaming,7,300.00,450.00
28,Surge Protector,Accessories,10,15.00,25.00
29,Stylus Pen,Accessories,15,20.00,30.00
30,Wireless Earbuds,Audio,35,60.00,90.00
31,Desktop Computer,Electronics,5,800.00,1100.00
32,Cooling Pad,Peripherals,8,25.00,40.00
33,Smart Home Hub,Smart Devices,6,100.00,150.00
34,Portable Scanner,Office Equipment,20,200.00,300.00
35,Digital Alarm Clock,Smart Devices,18,30.00,50.00
36,Action Camera,Photography,12,250.00,400.00
37,3D Printer,Office Equipment,10,500.00,800.00
38,Electric Scooter,Mobility,25,700.00,1000.00
39,Gaming Mouse,Gaming,14,60.00,90.00
40,LED Light Strip,Lighting,22,20.00,35.00
41,Noise-Cancelling Headphones,Audio,30,120.00,180.00
42,Car Dash Camera,Photography,10,100.00,150.00
43,Smart Thermostat,Home Automation,18,150.00,220.00
44,Robot Vacuum,Home Appliances,12,300.00,450.00
45,Bluetooth Adapter,Accessories,6,10.00,20.00
46,Portable Power Station,Accessories,20,400.00,600.00
47,Smart Doorbell,Smart Devices,15,150.00,220.00
48,Solar Phone Charger,Accessories,25,50.00,75.00
49,Digital Photo Frame,Home Automation,10,200.00,300.00
50,Wireless Presentation Remote,Office Equipment,54,40.00,70.00
